date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag,year,month,quarter,production_month,oil_rate_bbl_month,wc_category
2023-05-01,W-09,Andhra,KG_Offshore,hyperbolic,256.75,19.77,1042.7,42080.0,0,2023,5,2,4,7702.0,Low (<25%)
2023-06-01,W-09,Andhra,KG_Offshore,hyperbolic,198.52,18.72,1030.1,48035.0,0,2023,6,2,5,5956.0,Low (<25%)
2023-07-01,W-09,Andhra,KG_Offshore,hyperbolic,206.74,18.72,992.4,54237.0,0,2023,7,3,6,6202.0,Low (<25%)
2023-08-01,W-09,Andhra,KG_Offshore,hyperbolic,191.1,23.41,922.9,59970.0,0,2023,8,3,7,5733.0,Low (<25%)
2023-09-01,W-09,Andhra,KG_Offshore,hyperbolic,182.78,20.21,888.0,65454.0,0,2023,9,3,8,5483.0,Low (<25%)
2023-10-01,W-09,Andhra,KG_Offshore,hyperbolic,173.23,25.39,855.0,70651.0,0,2023,10,4,9,5197.0,Medium (25-50%)
2023-11-01,W-09,Andhra,KG_Offshore,hyperbolic,177.82,23.68,805.3,75985.0,0,2023,11,4,10,5335.0,Low (<25%)
2023-12-01,W-09,Andhra,KG_Offshore,hyperbolic,190.19,29.7,779.4,81691.0,0,2023,12,4,11,5706.0,Medium (25-50%)
2024-01-01,W-09,Andhra,KG_Offshore,hyperbolic,172.13,28.0,747.0,86855.0,0,2024,1,1,12,5164.0,Medium (25-50%)
2024-02-01,W-09,Andhra,KG_Offshore,hyperbolic,156.1,30.17,720.6,91538.0,0,2024,2,1,13,4683.0,Medium (25-50%)
2024-03-01,W-09,Andhra,KG_Offshore,hyperbolic,143.99,32.1,702.9,95857.0,0,2024,3,1,14,4320.0,Medium (25-50%)
2024-04-01,W-09,Andhra,KG_Offshore,hyperbolic,146.1,28.8,679.4,100240.0,0,2024,4,2,15,4383.0,Medium (25-50%)
2024-05-01,W-09,Andhra,KG_Offshore,hyperbolic,136.39,32.73,672.6,104332.0,0,2024,5,2,16,4092.0,Medium (25-50%)
2024-06-01,W-09,Andhra,KG_Offshore,hyperbolic,129.61,37.5,608.9,108220.0,0,2024,6,2,17,3888.0,Medium (25-50%)
2024-07-01,W-09,Andhra,KG_Offshore,hyperbolic,111.37,38.52,614.2,111561.0,0,2024,7,3,18,3341.0,Medium (25-50%)
2024-08-01,W-09,Andhra,KG_Offshore,hyperbolic,114.18,38.73,572.7,114987.0,0,2024,8,3,19,3425.0,Medium (25-50%)
2024-09-01,W-09,Andhra,KG_Offshore,hyperbolic,117.59,36.84,552.6,118514.0,0,2024,9,3,20,3528.0,Medium (25-50%)
2024-10-01,W-09,Andhra,KG_Offshore,hyperbolic,120.45,42.09,541.8,122128.0,0,2024,10,4,21,3614.0,Medium (25-50%)
2024-11-01,W-09,Andhra,KG_Offshore,hyperbolic,117.01,43.72,494.0,125638.0,0,2024,11,4,22,3510.0,Medium (25-50%)
2024-12-01,W-09,Andhra,KG_Offshore,hyperbolic,117.02,43.76,496.5,129149.0,0,2024,12,4,23,3511.0,Medium (25-50%)
2023-01-01,W-10,Andhra,KG_Offshore,exponential,323.74,12.48,1015.1,9712.0,0,2023,1,1,0,9712.0,Low (<25%)
2023-02-01,W-10,Andhra,KG_Offshore,exponential,279.62,14.02,998.4,18101.0,0,2023,2,1,1,8389.0,Low (<25%)
2023-03-01,W-10,Andhra,KG_Offshore,exponential,228.68,16.69,923.5,24961.0,0,2023,3,1,2,6860.0,Low (<25%)
2023-04-01,W-10,Andhra,KG_Offshore,exponential,205.65,17.08,895.0,31130.0,0,2023,4,2,3,6170.0,Low (<25%)
2023-05-01,W-10,Andhra,KG_Offshore,exponential,193.8,18.47,860.5,36944.0,0,2023,5,2,4,5814.0,Low (<25%)
2023-06-01,W-10,Andhra,KG_Offshore,exponential,165.59,20.5,846.8,41912.0,0,2023,6,2,5,4968.0,Low (<25%)
2023-07-01,W-10,Andhra,KG_Offshore,exponential,147.71,21.49,789.5,46343.0,0,2023,7,3,6,4431.0,Low (<25%)
2023-08-01,W-10,Andhra,KG_Offshore,exponential,127.96,23.61,764.1,50182.0,0,2023,8,3,7,3839.0,Low (<25%)
2023-09-01,W-10,Andhra,KG_Offshore,exponential,123.2,25.33,739.2,53878.0,0,2023,9,3,8,3696.0,Medium (25-50%)
2023-10-01,W-10,Andhra,KG_Offshore,exponential,114.18,27.79,704.3,57304.0,0,2023,10,4,9,3425.0,Medium (25-50%)
2023-11-01,W-10,Andhra,KG_Offshore,exponential,120.9,24.84,667.3,60931.0,0,2023,11,4,10,3627.0,Low (<25%)
2023-12-01,W-10,Andhra,KG_Offshore,exponential,105.29,28.51,650.4,64089.0,0,2023,12,4,11,3159.0,Medium (25-50%)
2024-01-01,W-10,Andhra,KG_Offshore,exponential,89.02,28.22,638.2,66760.0,0,2024,1,1,12,2671.0,Medium (25-50%)
2024-02-01,W-10,Andhra,KG_Offshore,exponential,79.12,28.71,582.3,69134.0,0,2024,2,1,13,2374.0,Medium (25-50%)
2024-03-01,W-10,Andhra,KG_Offshore,exponential,74.74,30.41,576.3,71376.0,0,2024,3,1,14,2242.0,Medium (25-50%)
2024-04-01,W-10,Andhra,KG_Offshore,exponential,67.71,34.19,541.3,73407.0,0,2024,4,2,15,2031.0,Medium (25-50%)
2024-05-01,W-10,Andhra,KG_Offshore,exponential,53.0,35.45,548.1,74997.0,0,2024,5,2,16,1590.0,Medium (25-50%)
2024-06-01,W-10,Andhra,KG_Offshore,exponential,45.31,36.83,486.5,76357.0,0,2024,6,2,17,1359.0,Medium (25-50%)
2024-07-01,W-10,Andhra,KG_Offshore,exponential,43.13,36.99,481.0,77651.0,0,2024,7,3,18,1294.0,Medium (25-50%)
2024-08-01,W-10,Andhra,KG_Offshore,exponential,39.16,38.87,475.9,78825.0,0,2024,8,3,19,1175.0,Medium (25-50%)
2024-09-01,W-10,Andhra,KG_Offshore,exponential,31.07,41.91,475.2,79758.0,0,2024,9,3,20,932.0,Medium (25-50%)
2024-10-01,W-10,Andhra,KG_Offshore,exponential,34.47,38.71,433.1,80792.0,0,2024,10,4,21,1034.0,Medium (25-50%)
2024-11-01,W-10,Andhra,KG_Offshore,exponential,35.86,43.15,408.7,81868.0,0,2024,11,4,22,1076.0,Medium (25-50%)
2024-12-01,W-10,Andhra,KG_Offshore,exponential,29.29,44.69,428.9,82746.0,0,2024,12,4,23,879.0,Medium (25-50%)
2023-01-01,W-11,Andhra,Ravva,hyperbolic,495.88,10.73,991.4,14876.0,0,2023,1,1,0,14876.0,Low (<25%)
2023-02-01,W-11,Andhra,Ravva,hyperbolic,453.98,15.41,962.8,28496.0,0,2023,2,1,1,13619.0,Low (<25%)
2023-03-01,W-11,Andhra,Ravva,hyperbolic,428.74,14.28,956.0,41358.0,0,2023,3,1,2,12862.0,Low (<25%)
2023-04-01,W-11,Andhra,Ravva,hyperbolic,631.45,16.19,902.2,60301.0,1,2023,4,2,3,18944.0,Low (<25%)
2023-05-01,W-11,Andhra,Ravva,hyperbolic,342.03,17.31,849.1,70562.0,0,2023,5,2,4,10261.0,Low (<25%)
2023-06-01,W-11,Andhra,Ravva,hyperbolic,277.04,17.7,832.6,78874.0,0,2023,6,2,5,8311.0,Low (<25%)
2023-07-01,W-11,Andhra,Ravva,hyperbolic,244.81,25.44,812.7,86218.0,0,2023,7,3,6,7344.0,Medium (25-50%)
2023-08-01,W-11,Andhra,Ravva,hyperbolic,253.58,20.91,774.5,93825.0,0,2023,8,3,7,7607.0,Low (<25%)
2023-09-01,W-11,Andhra,Ravva,hyperbolic,237.5,25.37,731.7,100950.0,0,2023,9,3,8,7125.0,Medium (25-50%)
2023-10-01,W-11,Andhra,Ravva,hyperbolic,218.24,22.55,692.5,107497.0,0,2023,10,4,9,6547.0,Low (<25%)
2023-11-01,W-11,Andhra,Ravva,hyperbolic,216.75,26.9,685.1,114000.0,0,2023,11,4,10,6502.0,Medium (25-50%)
2023-12-01,W-11,Andhra,Ravva,hyperbolic,201.0,28.52,654.1,120030.0,0,2023,12,4,11,6030.0,Medium (25-50%)
2024-01-01,W-11,Andhra,Ravva,hyperbolic,196.83,28.93,636.2,125935.0,0,2024,1,1,12,5905.0,Medium (25-50%)
2024-02-01,W-11,Andhra,Ravva,hyperbolic,166.59,29.26,607.9,130933.0,0,2024,2,1,13,4998.0,Medium (25-50%)
2024-03-01,W-11,Andhra,Ravva,hyperbolic,167.64,31.29,590.6,135962.0,0,2024,3,1,14,5029.0,Medium (25-50%)
2024-04-01,W-11,Andhra,Ravva,hyperbolic,157.57,32.42,544.3,140689.0,0,2024,4,2,15,4727.0,Medium (25-50%)
2024-05-01,W-11,Andhra,Ravva,hyperbolic,138.34,39.45,550.4,144839.0,0,2024,5,2,16,4150.0,Medium (25-50%)
2024-06-01,W-11,Andhra,Ravva,hyperbolic,120.84,36.01,512.8,148464.0,0,2024,6,2,17,3625.0,Medium (25-50%)
2024-07-01,W-11,Andhra,Ravva,hyperbolic,125.66,38.52,521.0,152234.0,0,2024,7,3,18,3770.0,Medium (25-50%)
2024-08-01,W-11,Andhra,Ravva,hyperbolic,112.21,42.45,460.3,155600.0,0,2024,8,3,19,3366.0,Medium (25-50%)
2024-09-01,W-11,Andhra,Ravva,hyperbolic,103.41,38.55,478.3,158703.0,0,2024,9,3,20,3102.0,Medium (25-50%)
2024-10-01,W-11,Andhra,Ravva,hyperbolic,103.95,41.79,437.5,161821.0,0,2024,10,4,21,3118.0,Medium (25-50%)
2024-11-01,W-11,Andhra,Ravva,hyperbolic,103.23,42.6,407.7,164918.0,0,2024,11,4,22,3097.0,Medium (25-50%)
2024-12-01,W-11,Andhra,Ravva,hyperbolic,102.6,44.38,393.8,167996.0,0,2024,12,4,23,3078.0,Medium (25-50%)
2023-01-01,W-12,Andhra,Ravva,hyperbolic,419.68,13.61,977.2,12590.0,0,2023,1,1,0,12590.0,Low (<25%)
2023-02-01,W-12,Andhra,Ravva,hyperbolic,377.52,11.48,929.2,23916.0,0,2023,2,1,1,11326.0,Low (<25%)
2023-03-01,W-12,Andhra,Ravva,hyperbolic,396.08,18.17,903.0,35798.0,0,2023,3,1,2,11882.0,Low (<25%)
2023-04-01,W-12,Andhra,Ravva,hyperbolic,329.06,16.51,855.9,45670.0,0,2023,4,2,3,9872.0,Low (<25%)
2023-05-01,W-12,Andhra,Ravva,hyperbolic,284.77,16.51,824.6,54213.0,0,2023,5,2,4,8543.0,Low (<25%)
2023-06-01,W-12,Andhra,Ravva,hyperbolic,269.72,16.51,761.2,62305.0,0,2023,6,2,5,8092.0,Low (<25%)
2023-07-01,W-12,Andhra,Ravva,hyperbolic,247.9,19.66,773.9,69742.0,0,2023,7,3,6,7437.0,Low (<25%)
2023-08-01,W-12,Andhra,Ravva,hyperbolic,229.85,26.34,735.5,76637.0,0,2023,8,3,7,6896.0,Medium (25-50%)
2023-09-01,W-12,Andhra,Ravva,hyperbolic,199.44,27.29,716.7,82620.0,0,2023,9,3,8,5983.0,Medium (25-50%)
2023-10-01,W-12,Andhra,Ravva,hyperbolic,208.23,32.25,630.7,88867.0,0,2023,10,4,9,6247.0,Medium (25-50%)
2023-11-01,W-12,Andhra,Ravva,hyperbolic,206.25,33.05,679.1,95055.0,0,2023,11,4,10,6188.0,Medium (25-50%)
2023-12-01,W-12,Andhra,Ravva,hyperbolic,219.73,30.95,620.3,101647.0,0,2023,12,4,11,6592.0,Medium (25-50%)
2024-01-01,W-12,Andhra,Ravva,hyperbolic,179.06,34.03,614.6,107018.0,0,2024,1,1,12,5372.0,Medium (25-50%)
2024-02-01,W-12,Andhra,Ravva,hyperbolic,168.86,38.72,558.9,112084.0,0,2024,2,1,13,5066.0,Medium (25-50%)
2024-03-01,W-12,Andhra,Ravva,hyperbolic,169.99,41.35,561.2,117184.0,0,2024,3,1,14,5100.0,Medium (25-50%)
2024-04-01,W-12,Andhra,Ravva,hyperbolic,147.36,44.08,514.5,121605.0,0,2024,4,2,15,4421.0,Medium (25-50%)
2024-05-01,W-12,Andhra,Ravva,hyperbolic,150.23,46.04,500.2,126111.0,0,2024,5,2,16,4507.0,Medium (25-50%)
2024-06-01,W-12,Andhra,Ravva,hyperbolic,126.94,45.4,518.3,129920.0,0,2024,6,2,17,3808.0,Medium (25-50%)
2024-07-01,W-12,Andhra,Ravva,hyperbolic,120.15,48.28,467.5,133524.0,0,2024,7,3,18,3604.0,Medium (25-50%)
2024-08-01,W-12,Andhra,Ravva,hyperbolic,113.53,52.13,455.2,136930.0,0,2024,8,3,19,3406.0,High (50-75%)
2024-09-01,W-12,Andhra,Ravva,hyperbolic,106.96,50.9,447.3,140139.0,0,2024,9,3,20,3209.0,High (50-75%)
2024-10-01,W-12,Andhra,Ravva,hyperbolic,118.34,54.25,424.6,143689.0,0,2024,10,4,21,3550.0,High (50-75%)
2024-11-01,W-12,Andhra,Ravva,hyperbolic,107.97,54.81,403.1,146928.0,0,2024,11,4,22,3239.0,High (50-75%)
2024-12-01,W-12,Andhra,Ravva,hyperbolic,109.29,56.34,390.6,150207.0,0,2024,12,4,23,3279.0,High (50-75%)
